Vehicle Number,Total Price,Station,Date
51322,127.44,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
51322,148.68,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
51322,113.28,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
51322,127.44,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
51322,120.36,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
51322,101.48,Brothers Gas Bottling & Distrib,2025-01-18 00:00:00
51322,118,Brothers Gas Bottling & Distrib,2025-01-19 00:00:00
51322,94.4,Brothers Gas Bottling & Distrib,2025-01-20 00:00:00
51322,134.52,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
51322,115.64,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
51322,110.92,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
XDXB51322,75.2,ENOC,
XDXB51322,86.14,ENOC,
XDXB51322,188.4,ENOC,
XDXB51322,205.85,ENOC,
XDXB51322,107.63,ENOC,
XDXB51322,112.91,ENOC,
XDXB51322,133.22,ENOC,
XDXB51322,160.8,ENOC,
XDXB51322,161.01,ENOC,
XDXB51322,139.76,ENOC,
XDXB51322,75.23,ENOC,
XDXB51322,71.15,ENOC,
XDXB51322,70.32,ENOC,
XDXB51322,115.21,ENOC,
XDXB51322,112.96,ENOC,
XDXB51322,87.02,ENOC,
XDXB51322,200.12,ENOC,
XDXB51322,106.8,ENOC,
XDXB51322,155.12,ENOC,
XDXB51322,189.69,ENOC,
XDXB51322,109.88,ENOC,
XDXB51322,167.31,ENOC,
XDXB51322,168.46,ENOC,
XDXB51322,114.97,ENOC,
