Vehicle Number,Total Price,Station,Date
59886,122.72,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
98027,63.72,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
72641,181.72,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
15127,146.32,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
37609,149.388,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
87484,122.484,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
97330,53.1,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
98129,87.792,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
23981,50.268,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
73969,152.22,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
98027,33.04,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
59886,132.16,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
72641,139.24,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
51322,127.44,Brothers Gas Bottling & Distrib,2025-01-16 00:00:00
51338,121.54,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
37609,228.21200000000002,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
87484,77.408,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
97330,131.216,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
73969,86.61200000000001,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
85752,94.4,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
23981,49.56,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
44378,118.708,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
98129,179.59599999999998,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
15127,92.04,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
72641,21.24,Brothers Gas Bottling & Distrib,2025-01-18 00:00:00
98027,14.16,Brothers Gas Bottling & Distrib,2025-01-18 00:00:00
73969,73.16,Brothers Gas Bottling & Distrib,2025-01-18 00:00:00
51338,43.188,Brothers Gas Bottling & Distrib,2025-01-18 00:00:00
